id,data
1621,12
2250,12
3848,12
2584,12
1063,12
3963,12
1131,12
3383,12
3961,12
1568,12
2480,12
1129,12
3151,12
3153,12
1123,12
1765,12
3370,12
1037,12
2575,12
2572,12
2273,12
3305,12
2567,12
2563,12
3160,12
2278,12
3876,12
2280,12
3950,12
3212,12
3567,12
1198,12
1470,12
3506,12
1318,12
2057,12
2056,12
3498,12
2990,12
3502,12
2816,12
3641,12
2956,12
2818,12
2045,12
3635,12
1461,12
2038,12
3511,12
1906,12
2061,12
3650,12
1889,12
3654,12
3695,12
3684,12
1289,12
2094,12
1290,12
1298,12
2085,12
1301,12
2082,12
1305,12
1883,12
3661,12
3493,12
2068,12
1888,12
3520,12
1446,12
3706,12
2888,12
2934,12
1940,12
1942,12
3581,12
2879,12
3540,12
2929,12
1391,12
1445,12
1974,12
3549,12
1971,12
1409,12
2898,12
2900,12
1962,12
3538,12
2869,12
1932,12
1374,12
2836,12
2951,12
3620,12
2014,12
2013,12
1352,12
2011,12
3611,12
3609,12
2850,12
1437,12
3601,12
2945,12
3593,12
1998,12
3702,12
1706,12
3712,12
3754,12
1239,12
3468,12
1493,12
3779,12
3729,12
3056,12
2702,12
2125,12
3739,12
1217,12
3741,12
3745,12
2160,12
2135,12
3427,12
3773,12
1245,12
3742,12
1259,12
2114,12
2733,12
3069,12
1215,12
3065,12
2173,12
2147,12
2712,12
1514,12
1841,12
2755,12
1870,12
1826,12
2491,11
3815,11
3221,11
3965,11
3037,11
2474,11
3428,11
3533,11
2944,11
2476,11
2647,11
3418,11
3772,11
2651,11
2707,11
2866,11
2943,11
2656,11
2848,11
3584,11
3226,11
3228,11
2418,11
2420,11
3561,11
3796,11
3560,11
3554,11
3251,11
3550,11
3575,11
2683,11
3077,11
3782,11
3545,11
3577,11
3248,11
3243,11
3806,11
3979,11
3579,11
3054,11
3241,11
2667,11
3238,11
2714,11
3237,11
2876,11
2938,11
2666,11
3231,11
3616,11
3314,11
3309,11
2604,11
2789,11
2790,11
3481,11
3726,11
3137,11
2997,11
2557,11
2838,11
2802,11
3453,11
3350,11
2741,11
3789,11
3837,11
3139,11
2750,11
3002,11
3017,11
3014,11
3671,11
3672,11
3674,11
3871,11
3004,11
2753,11
2776,11
2590,11
3858,11
3682,11
3375,11
2587,11
2546,11
3645,11
2738,11
2725,11
3207,11
2716,11
3204,11
3525,11
3759,11
3408,11
2503,11
3034,11
3628,11
2958,11
2831,11
2508,11
3033,11
3517,11
3198,11
3889,11
3195,11
3632,11
2518,11
2982,11
2820,11
3188,11
3827,11
3828,11
2531,11
2814,11
3900,11
2734,11
2537,11
3890,11
3792,11
3999,11
2209,11
1492,11
1250,11
1739,11
1333,11
1128,11
1736,11
1503,11
1502,11
1583,11
1033,11
1501,11
1243,11
1732,11
2073,11
1586,11
